"genus","group","indval","pvalue","freq","relfreq1","relfreq2","relfreq3","relfreq4","relabund1","relabund2","relabund3","relabund4"
"Cyclotella",1,0.485,0.017,474,0.654,0.63,0.077,0.455,0.741,0.185,0.023,0.05
"Oocystis",1,0.453,0.083,585,0.754,0.829,0.231,0.364,0.6,0.136,0.262,0.001
"Fragilaria",1,0.423,0.01,308,0.53,0.303,0.077,0.182,0.799,0.158,0.036,0.006
"Dinobryon",1,0.383,0.027,283,0.516,0.23,0.038,0.818,0.741,0.073,0.008,0.178
"Scenedesmus",1,0.303,0.218,430,0.495,0.661,0.192,0.545,0.613,0.337,0.047,0.004
"Trachelomonas",1,0.281,0.18,441,0.486,0.717,0.154,0.091,0.578,0.253,0.169,0
"Nitzschia",1,0.275,0.102,331,0.441,0.451,0.077,0.455,0.624,0.317,0.019,0.041
"Ceratium",1,0.262,0.023,188,0.314,0.196,0.077,0,0.837,0.133,0.03,0
"Ochromonas",1,0.25,0.067,247,0.476,0.176,0.115,0.455,0.525,0.033,0.429,0.013
"Navicula",1,0.249,0.077,263,0.357,0.353,0.077,0.273,0.697,0.176,0.104,0.023
"Komma",1,0.248,0.066,249,0.597,0.059,0.192,0.182,0.415,0.013,0.568,0.004
"Tetra<eb>dron",1,0.245,0.012,132,0.319,0.034,0.077,0,0.767,0.105,0.128,0
"Elakatothrix",1,0.239,0.034,153,0.278,0.137,0,0.091,0.858,0.141,0,0.001
"Sphaerocystis",1,0.226,0.542,406,0.478,0.622,0.192,0.182,0.473,0.166,0.356,0.005
"Aulacoseira",1,0.222,0.219,301,0.386,0.429,0.115,0.182,0.575,0.332,0.071,0.022
"Crucigenia",1,0.21,0.157,248,0.284,0.392,0.038,0.182,0.739,0.249,0.004,0.008
"Mallomonas",1,0.195,0.099,225,0.3,0.314,0.038,0.091,0.65,0.286,0.032,0.032
"Dictyosphaerium",1,0.178,0.063,130,0.281,0.07,0.038,0,0.632,0.163,0.204,0
"Leptolyngbya",1,0.17,0.083,143,0.308,0.076,0.077,0,0.55,0.432,0.017,0
"Schroederia",1,0.166,0.365,262,0.441,0.261,0.192,0.091,0.376,0.117,0.501,0.006
"Peridiniopsis",1,0.154,0.032,76,0.178,0.025,0.038,0,0.863,0.054,0.083,0
"Chroococcus",1,0.145,0.978,386,0.454,0.594,0.192,0.091,0.32,0.217,0.463,0
"Aphanothece",1,0.135,0.038,61,0.141,0.025,0,0,0.961,0.039,0,0
"Achnanthidium",1,0.135,0.251,174,0.216,0.249,0,0.455,0.624,0.296,0,0.079
"Pediastrum",1,0.135,0.335,187,0.222,0.291,0,0.091,0.608,0.392,0,0.001
"Tetrastrum",1,0.131,0.129,117,0.186,0.132,0.038,0,0.703,0.272,0.025,0
"Gomphonema",1,0.126,0.073,63,0.141,0.025,0,0.182,0.897,0.09,0,0.012
"Stephanodiscus",1,0.117,0.11,89,0.178,0.05,0.154,0.091,0.658,0.103,0.203,0.037
"Gloeocystis",1,0.107,0.145,101,0.159,0.106,0.038,0.273,0.673,0.14,0.185,0.003
"Chilomonas",1,0.096,0.054,43,0.108,0,0.038,0.182,0.892,0,0.005,0.103
"Cocconeis",1,0.094,0.086,60,0.103,0.062,0,0,0.917,0.083,0,0
"Closteriopsis",1,0.086,0.144,69,0.111,0.078,0,0,0.779,0.221,0,0
"Tabellaria",1,0.073,0.175,53,0.097,0.034,0,0.455,0.752,0.128,0,0.119
"Cymbella",1,0.072,0.243,69,0.086,0.101,0,0.091,0.827,0.168,0,0.004
"Limnothrix",1,0.07,0.426,80,0.111,0.101,0.115,0,0.632,0.171,0.197,0
"Glaucospira",1,0.061,0.159,42,0.086,0.025,0.038,0,0.7,0.23,0.07,0
"Quadrigula",1,0.06,0.266,54,0.108,0.028,0.077,0.182,0.554,0.141,0.302,0.003
"Monomorphina",1,0.056,0.171,33,0.073,0.014,0.038,0,0.772,0.04,0.188,0
"Amphora",1,0.055,0.242,39,0.065,0.042,0,0,0.84,0.16,0,0
"Staurosira",1,0.05,0.114,25,0.054,0.011,0,0.091,0.924,0.069,0,0.007
"Pinnularia",1,0.044,0.29,35,0.054,0.036,0.038,0.091,0.814,0.175,0.003,0.007
"Epithemia",1,0.04,0.222,31,0.054,0.028,0.038,0,0.748,0.067,0.185,0
"Eucapsis",1,0.04,0.556,45,0.043,0.081,0,0,0.929,0.071,0,0
"Surirella",1,0.033,0.47,34,0.046,0.048,0,0,0.716,0.284,0,0
"Stipitococcus",1,0.032,0.151,12,0.032,0,0,0,1,0,0,0
"Sellaphora",1,0.032,0.247,19,0.038,0.011,0,0.091,0.854,0.121,0,0.025
"Melosira",1,0.03,0.634,38,0.049,0.056,0,0,0.61,0.39,0,0
"Pseudostaurosira",1,0.029,0.123,13,0.03,0.006,0,0,0.983,0.017,0,0
"Discostella",1,0.027,0.207,10,0.027,0,0,0,1,0,0,0
"Staurosirella",1,0.027,0.25,14,0.03,0.008,0,0,0.892,0.108,0,0
"Thalassiosira",1,0.025,0.461,24,0.049,0.014,0.038,0,0.522,0.189,0.288,0
"Diatoma",1,0.022,0.233,9,0.022,0.003,0,0,0.999,0.001,0,0
"Stauroneis",1,0.019,0.455,15,0.024,0.017,0,0,0.773,0.227,0,0
"Gonyaulax",1,0.018,0.998,35,0.022,0.076,0,0,0.826,0.174,0,0
"Peroniella",1,0.016,0.196,6,0.016,0,0,0,1,0,0,0
"Tribonema",1,0.016,0.237,6,0.016,0,0,0,1,0,0,0
"Coelomoron",1,0.014,0.957,21,0.038,0.02,0,0,0.361,0.639,0,0
"Puncticulata",1,0.014,0.261,5,0.014,0,0,0,1,0,0,0
"Tryblionella",1,0.011,0.299,6,0.014,0.003,0,0,0.832,0.168,0,0
"Sphaerodinium",1,0.011,0.273,4,0.011,0,0,0,1,0,0,0
"Diploneis",1,0.011,0.287,5,0.011,0.003,0,0,0.997,0.003,0,0
"Rhoicosphenia",1,0.01,0.388,5,0.011,0.003,0,0,0.903,0.097,0,0
"Carteria",1,0.008,0.3,3,0.008,0,0,0,1,0,0,0
"Hippodonta",1,0.008,0.362,3,0.008,0,0,0,1,0,0,0
"Lepocinclis",1,0.008,0.334,3,0.008,0,0,0,1,0,0,0
"Nupela",1,0.008,0.365,3,0.008,0,0,0,1,0,0,0
"Tetraselmis",1,0.008,0.352,3,0.008,0,0,0,1,0,0,0
"Frustulia",1,0.006,0.75,6,0.008,0.008,0,0,0.779,0.221,0,0
"Microspora",1,0.006,0.829,7,0.011,0.008,0,0,0.562,0.438,0,0
"Rhopalodia",1,0.005,0.995,9,0.011,0.011,0,0.091,0.505,0.454,0,0.041
"Encyonopsis",1,0.005,0.547,2,0.005,0,0,0,1,0,0,0
"Jaaginema",1,0.005,0.556,2,0.005,0,0,0,1,0,0,0
"Polykyrtos",1,0.005,0.561,2,0.005,0,0,0,1,0,0,0
"Polytoma",1,0.005,0.56,2,0.005,0,0,0,1,0,0,0
"Romeria",1,0.005,0.529,2,0.005,0,0,0,1,0,0,0
"Trichodesmium",1,0.005,0.558,2,0.005,0,0,0,1,0,0,0
"Trochiscia",1,0.005,0.534,2,0.005,0,0,0,1,0,0,0
"Woronichinia",1,0.005,0.577,2,0.005,0,0,0,1,0,0,0
"Spirogyra",1,0.005,0.566,3,0.005,0.003,0,0,0.982,0.018,0,0
"Lagerheimia",1,0.005,0.727,5,0.008,0.006,0,0,0.639,0.361,0,0
"Stigeoclonium",1,0.005,0.999,10,0.005,0.022,0,0,0.839,0.161,0,0
"Craticula",1,0.004,0.775,3,0.005,0.003,0,0,0.793,0.207,0,0
"Sorastrum",1,0.004,0.992,8,0.005,0.017,0,0,0.79,0.21,0,0
"Heteroleibleinia",1,0.004,0.783,3,0.005,0.003,0,0,0.682,0.318,0,0
"Campylodiscus",1,0.003,0.966,5,0.008,0.006,0,0,0.425,0.575,0,0
"Aulosira",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Cerasterias",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chamaesiphon",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chrysocapsa",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chrysochromulina",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chrysodidymus",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chrysosphaera",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Chrysosphaerella",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Cuspidothrix",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Cyclostephanos",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Cylindrotheca",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Dimorphococcus",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Dinophysis",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Dispora",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Entomoneis",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Eucocconeis",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Geissleria",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Karayevia",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Lemmermanniella",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Placoneis",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Planctonema",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Psammothidium",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Stenopterobia",1,0.003,1,1,0.003,0,0,0,1,0,0,0
"Gloeothece",1,0.003,1,2,0.003,0.003,0,0,0.982,0.018,0,0
"Mastogloia",1,0.003,1,2,0.003,0.003,0,0,0.978,0.022,0,0
"Meridion",1,0.002,1,5,0.003,0.011,0,0,0.839,0.161,0,0
"Gonium",1,0.002,1,2,0.003,0.003,0,0,0.815,0.185,0,0
"Denticula",1,0.002,1,2,0.003,0.003,0,0,0.798,0.202,0,0
"Gloeocapsa",2,0.386,0.003,150,0.024,0.389,0,0.182,0.002,0.99,0,0.007
"Aphanocapsa",2,0.347,0.475,397,0.546,0.521,0.308,0.091,0.234,0.666,0.101,0
"Kirchneriella",2,0.334,0.008,158,0.086,0.353,0,0,0.054,0.946,0,0
"Volvox",2,0.322,0.002,120,0.008,0.325,0,0.091,0.003,0.992,0,0.005
"Nephrocytium",2,0.258,0.021,145,0.032,0.37,0.038,0,0.203,0.697,0.1,0
"Chlorella",2,0.258,0.013,103,0.022,0.266,0,0,0.032,0.968,0,0
"Microcystis",2,0.256,0.205,356,0.13,0.84,0.231,0.182,0.13,0.305,0.565,0
"Peridinium",2,0.211,0.101,254,0.268,0.42,0,0.455,0.425,0.501,0,0.074
"Gomphosphaeria",2,0.207,0.024,93,0.035,0.224,0,0,0.076,0.924,0,0
"Oscillatoria",2,0.184,0.773,351,0.284,0.669,0.154,0.273,0.224,0.275,0.501,0
"Eudorina",2,0.182,0.027,65,0,0.182,0,0,0,1,0,0
"Planktolyngbya",2,0.178,0.035,92,0.057,0.199,0,0,0.106,0.894,0,0
"Eremosphaera",2,0.178,0.021,68,0.011,0.179,0,0,0.009,0.991,0,0
"Synura",2,0.169,0.178,194,0.208,0.317,0.115,0.091,0.396,0.535,0.068,0
"Synedra",2,0.167,0.468,259,0.33,0.367,0.038,0.455,0.403,0.455,0.035,0.107
"Euglena",2,0.167,0.672,296,0.211,0.605,0.077,0,0.576,0.275,0.148,0
"Raphidiopsis",2,0.156,0.027,57,0.003,0.157,0,0,0.003,0.997,0,0
"Platydorina",2,0.148,0.02,53,0,0.148,0,0,0,1,0,0
"Gloeomonas",2,0.146,0.03,52,0,0.146,0,0,0,1,0,0
"Merismopedia",2,0.142,0.41,204,0.241,0.311,0.115,0.091,0.429,0.457,0.114,0
"Coelastrum",2,0.138,0.641,252,0.192,0.501,0.077,0,0.661,0.274,0.065,0
"Closterium",2,0.119,0.073,63,0.038,0.137,0,0,0.131,0.869,0,0
"Staurastrum",2,0.112,0.854,247,0.311,0.353,0.154,0.182,0.277,0.317,0.403,0.003
"Selenastrum",2,0.107,0.602,189,0.143,0.367,0.115,0.182,0.356,0.293,0.346,0.005
"Ankistrodesmus",2,0.101,0.785,178,0.173,0.303,0.038,0.455,0.578,0.335,0.002,0.085
"Golenkinia",2,0.083,0.065,32,0.005,0.084,0,0,0.014,0.986,0,0
"Cylindrospermum",2,0.083,0.069,37,0.014,0.09,0,0,0.078,0.922,0,0
"Pandorina",2,0.081,0.068,30,0.003,0.081,0,0,0.007,0.993,0,0
"Cylindrospermopsis",2,0.076,0.111,45,0.014,0.112,0,0,0.318,0.682,0,0
"Synechococcus",2,0.072,0.181,61,0.019,0.151,0,0,0.522,0.478,0,0
"Lyngbya",2,0.071,0.367,83,0.065,0.16,0.077,0,0.264,0.447,0.289,0
"Stichosiphon",2,0.061,0.072,23,0.003,0.062,0,0,0.008,0.992,0,0
"Mougeotia",2,0.061,0.136,42,0.024,0.092,0,0,0.345,0.655,0,0
"Amphidinium",2,0.05,0.12,19,0.003,0.05,0,0,0.009,0.991,0,0
"Euastrum",2,0.041,0.376,39,0.03,0.078,0,0,0.48,0.52,0,0
"Asterococcus",2,0.037,0.315,33,0.035,0.053,0,0.091,0.297,0.7,0,0.003
"Spondylosium",2,0.036,0.493,38,0.038,0.064,0,0.091,0.057,0.552,0,0.391
"Chlorococcum",2,0.033,0.449,34,0.014,0.081,0,0,0.594,0.406,0,0
"Spirulina",2,0.032,0.199,21,0.016,0.042,0,0,0.231,0.769,0,0
"Gomontiella",2,0.031,0.212,11,0,0.031,0,0,0,1,0,0
"Centritractus",2,0.024,0.241,10,0.003,0.025,0,0,0.044,0.956,0,0
"Actinastrum",2,0.019,0.537,16,0.016,0.028,0,0,0.336,0.664,0,0
"Phaeoplaca",2,0.017,0.219,6,0,0.017,0,0,0,1,0,0
"Protoderma",2,0.017,0.173,6,0,0.017,0,0,0,1,0,0
"Ulothrix",2,0.015,0.426,9,0.008,0.017,0,0,0.101,0.899,0,0
"Pyrenomonas",2,0.015,0.336,7,0.003,0.017,0,0,0.11,0.89,0,0
"Skeletonema",2,0.014,0.299,7,0.003,0.017,0,0,0.148,0.852,0,0
"Botrydiopsis",2,0.014,0.16,5,0,0.014,0,0,0,1,0,0
"Coccomonas",2,0.014,0.181,5,0,0.014,0,0,0,1,0,0
"Pleurogaster",2,0.014,0.184,5,0,0.014,0,0,0,1,0,0
"Borzia",2,0.014,0.333,8,0.005,0.017,0,0,0.181,0.819,0,0
"Coscinodiscus",2,0.012,0.346,7,0.005,0.014,0,0,0.137,0.863,0,0
"Caloneis",2,0.011,0.231,4,0,0.011,0,0,0,1,0,0
"Zygnema",2,0.011,0.157,4,0,0.011,0,0,0,1,0,0
"Geitlerinema",2,0.008,0.604,7,0.008,0.011,0,0,0.242,0.758,0,0
"Docidium",2,0.008,0.256,3,0,0.008,0,0,0,1,0,0
"Uroglena",2,0.008,0.226,3,0,0.008,0,0,0,1,0,0
"Ophiocytium",2,0.008,0.351,4,0.003,0.008,0,0,0.013,0.987,0,0
"Oedogonium",2,0.008,0.564,5,0.003,0.008,0.038,0,0.002,0.969,0.029,0
"Strombomonas",2,0.008,0.986,11,0.014,0.017,0,0,0.554,0.446,0,0
"Brachysira",2,0.006,0.311,2,0,0.006,0,0,0,1,0,0
"Characiopsis",2,0.006,0.292,2,0,0.006,0,0,0,1,0,0
"Distrionella",2,0.006,0.313,2,0,0.006,0,0,0,1,0,0
"Hydrodictyon",2,0.006,0.336,2,0,0.006,0,0,0,1,0,0
"Polyedriopsis",2,0.006,0.311,2,0,0.006,0,0,0,1,0,0
"Xanthidium",2,0.006,0.317,2,0,0.006,0,0,0,1,0,0
"Gyrosigma",2,0.004,0.876,5,0.005,0.008,0,0,0.492,0.508,0,0
"Cymatopleura",2,0.003,0.947,4,0.003,0.008,0,0,0.62,0.38,0,0
"Acanthoceras",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Bitrichia",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Calothrix",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Chlorokybus",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Choodactylon",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Keriochlamys",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Micractinium",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Micrasterias",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Netrium",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Pleurotaenium",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Rhizoclonium",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Roya",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Schizothrix",2,0.003,1,1,0,0.003,0,0,0,1,0,0
"Aphanizomenon",3,0.676,0.001,149,0.259,0.095,0.731,0,0.055,0.019,0.926,0
"Cryptomonas",3,0.421,0.104,648,0.905,0.807,0.731,0.545,0.345,0.073,0.577,0.006
"Anabaena",3,0.384,0.066,447,0.495,0.683,0.731,0.091,0.355,0.12,0.525,0
"Synechocystis",3,0.305,0.001,44,0.089,0.008,0.308,0,0.006,0.001,0.992,0
"Pseudanabaena",3,0.175,0.043,106,0.241,0.031,0.192,0.091,0.061,0.029,0.909,0.001
"Chlamydomonas",3,0.121,0.855,262,0.205,0.507,0.192,0,0.209,0.163,0.628,0
"Coelosphaerium",3,0.095,0.361,136,0.192,0.171,0.154,0,0.207,0.173,0.62,0
"Botryococcus",3,0.092,0.272,114,0.124,0.179,0.154,0,0.181,0.222,0.597,0
"Anabaenopsis",3,0.071,0.63,107,0.089,0.196,0.154,0,0.262,0.273,0.465,0
"Dactylococcopsis",3,0.069,0.358,80,0.176,0.034,0.115,0,0.369,0.037,0.594,0
"Phacus",3,0.061,0.234,52,0.035,0.104,0.077,0,0.116,0.09,0.794,0
"Glenodiniopsis",3,0.043,0.257,30,0.073,0.003,0.077,0,0.386,0.051,0.563,0
"Characium",3,0.038,0.048,2,0.003,0,0.038,0,0.001,0,0.999,0
"Nodularia",3,0.038,0.078,3,0.003,0.003,0.038,0,0.005,0.002,0.993,0
"Radiococcus",3,0.037,0.425,31,0.011,0.073,0.038,0,0.002,0.027,0.971,0
"Homoeothrix",3,0.036,0.08,4,0.008,0,0.038,0,0.067,0,0.933,0
"Snowella",3,0.035,0.285,26,0.059,0.006,0.077,0,0.231,0.314,0.455,0
"Chrysococcus",3,0.034,0.403,32,0.024,0.059,0.038,0.091,0.017,0.079,0.872,0.033
"Staurodesmus",3,0.03,0.261,19,0.038,0.011,0.038,0,0.121,0.086,0.792,0
"Gloeotrichia",3,0.029,0.12,5,0.011,0,0.038,0,0.25,0,0.75,0
"Asterionella",4,0.421,0.002,135,0.262,0.084,0.077,0.545,0.173,0.014,0.041,0.773
"Cosmarium",4,0.257,0.16,339,0.37,0.541,0.154,0.455,0.206,0.184,0.044,0.566
"Chroomonas",4,0.247,0.001,15,0.032,0,0,0.273,0.094,0,0,0.906
"Pseudokephyrion",4,0.182,0.001,2,0,0,0,0.182,0,0,0,1
"Teilingia",4,0.182,0.001,2,0,0,0,0.182,0,0,0,1
"Rhabdoderma",4,0.182,0.002,9,0.019,0,0,0.182,0.001,0,0,0.999
"Encyonema",4,0.179,0.001,3,0.003,0,0,0.182,0.013,0,0,0.987
"Nannochloris",4,0.157,0.004,8,0.016,0,0,0.182,0.137,0,0,0.863
"Mesotaenium",4,0.091,0.016,1,0,0,0,0.091,0,0,0,1
"Pleurosigma",4,0.091,0.009,1,0,0,0,0.091,0,0,0,1
"Treubaria",4,0.091,0.01,1,0,0,0,0.091,0,0,0,1
"Amphipleura",4,0.085,0.026,2,0,0.003,0,0.091,0,0.061,0,0.939
"Gymnodinium",4,0.083,0.022,4,0.008,0,0,0.091,0.092,0,0,0.908
"Urosolenia",4,0.081,0.024,8,0.005,0.014,0,0.091,0.064,0.049,0,0.887
"Chromulina",4,0.057,0.056,15,0.032,0.003,0,0.182,0.683,0.004,0,0.313
"Hannaea",4,0.052,0.048,5,0.011,0,0,0.091,0.433,0,0,0.567
"Eunotia",4,0.049,0.183,22,0.043,0.011,0.038,0.091,0.087,0.139,0.23,0.544
"Glenodinium",4,0.041,0.153,16,0.038,0,0.038,0.091,0.366,0,0.181,0.453
"Campylomonas",4,0.039,0.083,6,0.014,0,0,0.091,0.57,0,0,0.43
"Westella",4,0.029,0.259,15,0.005,0.034,0,0.091,0.062,0.619,0,0.319
"Acanthosphaera",4,0.025,0.288,14,0.03,0.006,0,0.091,0.666,0.064,0,0.271
"Stylochrysalis",4,0.023,0.233,9,0.019,0.003,0,0.091,0.733,0.017,0,0.25
"Neidium",4,0.018,0.341,10,0.011,0.014,0,0.091,0.587,0.217,0,0.196
